,feature,BackwardElimination,MutualInformation,RFE,SelectKBest,VarianceThreshold,VIF,STEF-Rank
0,duration,1,1,0,1,1,1,0.8166666666666668
1,protocol_type,1,1,1,0,1,1,0.8333333333333334
2,service,0,1,0,1,1,1,0.7333333333333334
3,flag,1,1,1,1,1,0,0.75
4,src_bytes,0,1,0,1,1,1,0.7166666666666667
5,dst_bytes,0,1,0,1,1,1,0.7166666666666667
6,land,0,0,1,0,0,1,0.13333333333333333
7,wrong_fragment,1,1,1,1,1,1,0.8666666666666666
8,urgent,0,0,1,0,0,1,0.11666666666666665
9,hot,1,1,0,1,1,1,0.6666666666666666
10,num_failed_logins,1,0,1,0,0,1,0.4333333333333333
11,logged_in,0,1,1,1,1,1,0.95
12,num_compromised,0,1,0,0,1,0,0.5333333333333333
13,root_shell,1,0,0,0,0,1,0.4833333333333333
14,su_attempted,1,0,1,0,0,1,0.4166666666666667
15,num_root,0,0,0,0,1,0,0.5666666666666667
16,num_file_creations,1,0,0,1,1,1,0.5333333333333333
17,num_shells,1,0,1,0,0,1,0.2833333333333333
18,num_access_files,0,0,0,0,1,1,0.5499999999999999
19,num_outbound_cmds,0,0,0,0,0,0,0.10000000000000002
20,is_host_login,0,0,0,0,0,0,0.05000000000000001
21,is_guest_login,1,0,1,0,1,1,0.6166666666666667
22,count,1,1,0,1,1,1,0.7333333333333334
23,srv_count,1,1,0,1,1,1,0.7333333333333334
24,serror_rate,0,1,1,1,1,0,0.7333333333333334
25,srv_serror_rate,0,1,1,1,1,0,0.7833333333333333
26,rerror_rate,0,1,1,1,1,0,0.7333333333333334
27,srv_rerror_rate,1,1,1,1,1,0,0.75
28,same_srv_rate,1,1,1,1,1,1,1.0
29,diff_srv_rate,1,1,1,0,1,1,0.9166666666666666
30,srv_diff_host_rate,1,1,1,0,1,1,0.7833333333333333
31,dst_host_count,1,1,0,1,1,1,0.8166666666666668
32,dst_host_srv_count,1,1,0,1,1,1,0.7833333333333333
33,dst_host_same_srv_rate,0,1,1,1,1,1,0.95
34,dst_host_diff_srv_rate,1,1,1,1,1,1,0.9833333333333334
35,dst_host_same_src_port_rate,1,1,1,0,1,1,0.8333333333333334
36,dst_host_srv_diff_host_rate,1,1,1,0,1,1,0.75
37,dst_host_serror_rate,0,1,1,1,1,0,0.6666666666666666
38,dst_host_srv_serror_rate,1,1,1,1,1,0,0.75
39,dst_host_rerror_rate,0,1,0,1,1,1,0.85
40,dst_host_srv_rerror_rate,1,1,1,1,1,0,0.8666666666666667
41,level,1,1,1,1,1,1,1.0
